title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Militant Monster 2024,NA,8.8,['Yin Chen Yang'],[],"['Nitish Nirmal', 'Yuanting Shi', 'Wei Wei', 'Dongmei Xu']",['Adventure'],"January 11, 2024 (India)",['Hindi'],[]
Merry Christmas,PT2H24M,6.9,['Sriram Raghavan'],"['Frédéric Dard', 'Sriram Raghavan', 'Arijit Biswas', 'Frédéric Dard', 'Sriram Raghavan', 'Arijit Biswas']","['Katrina Kaif', 'Vijay Sethupathi', 'Tinnu Anand', 'Pari Sharma', 'Vinay Pathak', 'Sanjay Kapoor', 'Luke Kenny', 'Sahil Vaid', 'Gayathrie', 'Ashwini Kalsekar', 'Radhika Apte', 'Hemant K Gaur', 'Murlie', 'Milind Hole', 'Anil Dadheech', 'Prashant Parab', 'Abhishek Shukla', 'Pratik Nandkumar More']","['Drama', 'Mystery', 'Thriller']","January 12, 2024 (India)","['Hindi', 'Tamil']","['Matchbox Pictures', 'Tips Films']"
Kripya Dhyaan Dein,PT2H4M,NA,['Neeraj Bhasin'],"['Vivek Gera', 'Vivek Gera']","['Vibha Chhibber', 'Vivek Gera', 'Brijendra Kala', 'Vijay Kaushik', 'Mushtaq Khan', 'Shyam Mashalkar', 'Hemant Pandey', 'Komal Sachdeva', 'Tiku Talsania', 'Atul Tiwari']",['Comedy'],"January 12, 2024 (India)",['Hindi'],['Vivek Gera films']
Chhota Bheem - Vinash Beej Ka Vinash,NA,8.2,[],"['Saharsh Wardhan Singh Rathore', 'Saharsh Wardhan Singh Rathore']",[],['Animation'],"January 14, 2024 (India)",['Hindi'],['Green Gold Animation']
The Last Wish,NA,NA,"['Sharrma Mayyank', 'Sanjali Suri']","['Amit Aseem', 'Sharrma Mayyank', 'Amit Aseem', 'Sharrma Mayyank']","['Nanak Arora', 'Simmi Arora', 'Shrishti Arya', 'Shruti Gupta', 'Charan Kamal Kaur', 'Naveen Kumar', 'Sandeep Kumar', 'Arpita Madaan', 'Mihiransh', 'Manik Naik', 'Shefali Naryal', 'Sushant Pujari', 'Sanjali Suri', 'Girish Thapar', 'Atharav Tyagi']",['Drama'],"January 16, 2024 (India)",['Hindi'],"['Epitome Production House', 'MSAsian Entertainment']"
Ram-Ran: Ayodhya 1992,PT57M,NA,[],"['Vibhas Awasthi', 'Shailendra Pandey', 'Vibhas Awasthi', 'Shailendra Pandey']",[],['Documentary'],"January 18, 2024 (India)",['Hindi'],[]
Main Atal Hoon,PT2H19M,6.9,"['Ravi Jadhav', 'Javed Karim']","['Ravi Jadhav', 'Utkarsh Naithani', 'Rishi Virmani', 'Ravi Jadhav', 'Utkarsh Naithani', 'Rishi Virmani']","['Mahmood Hashmi', 'Pankaj Tripathi', 'Benedict Garrett', 'Harshal Gire', 'Rajesh Dubeay', 'Harshad Kumar', 'Krishna Saajnani', 'Madhu Singh', 'Lovekkush Kundu', 'Anil Jhamajham', 'Ranjeet Khanna', 'Sarah Killedar', 'Paula McGlynn', 'Piyush Mishra', 'Prashant Mishra', 'Salim Husen Mulla', 'Payal Nair', 'Avanish Pandey']","['Biography', 'Drama']","January 19, 2024 (India)",['Hindi'],"['Bhanushali Studios Limited', 'Legend Studios']"
Six-Nine-Five,PT2H17M,6.9,"['Rajneesh Berry', 'Yogesh Bhardwaj']","['Aadesh K. Arjun', 'Yogesh Bhardwaj', 'Shyam Chawla', 'Aadesh K. Arjun', 'Yogesh Bhardwaj', 'Shyam Chawla']","['Aalaap Tyagi', 'Garima Agarwal', 'Gajendra Chauhan', 'Rakesh Dube', 'Raakeshh Dubey', 'Rakesh Dubey', 'Shailendra Gaur', 'Arun Govil', 'Manoj Joshi', 'Suunil R Kumar', 'Akhilendra Mishra', 'Raja Misshra', 'Govind Namdeo', 'Ashok Samarth', 'Gauri Shankar', 'Prashant Shyam Sri', 'Abhay Dheeraj Singh', 'Mukesh Tiwari']","['Adventure', 'History']","January 19, 2024 (India)",['Hindi'],['Shadani Films']
Ram-Ran: Ayodhya (Sant Pratigya),NA,NA,[],"['Shailendra Pandey', 'Shailendra Pandey']",[],['Documentary'],"January 20, 2024 (India)",['Hindi'],[]
The Mehta Boys,PT1H56M,NA,['Boman Irani'],"['Alexander Dinelaris', 'Boman Irani', 'Alexander Dinelaris', 'Boman Irani']","['Shreya Chaudhry', 'Boman Irani', 'Puja Sarup', 'Harssh Singh', 'Avinash Tiwary']",['Drama'],"November 25, 2024 (India)",['Hindi'],"['Chalkboard Entertainment', 'Irani Movietone']"
Fighter,PT2H46M,6.2,['Siddharth Anand'],"['Siddharth Anand', 'Ramon Chibb', 'Abbas Dalal', 'Siddharth Anand', 'Ramon Chibb', 'Abbas Dalal']","['Hrithik Roshan', 'Deepika Padukone', 'Anil Kapoor', 'Karan Singh Grover', 'Akshay Oberoi', 'Ramon Chibb', 'Rishabh Sawhney', 'Sanjeeda Sheikh', 'Ashutosh Rana', 'Sanjiv Chopra', 'Chandan Anand', 'Seerat Mast', 'Talat Aziz', 'Sharib Hashmi', 'Chandra Shekhar Dutta', 'Aditi Sandhya Sharma', 'Banveen Singh', 'Vinay Varma']","['Action Epic', 'Action', 'Drama']","January 25, 2024 (India)","['Hindi', 'English']","['Betterfly Films', 'Manomay Motion Pictures', 'Marlix Pictures']"
Game Over,PT1H14M,5.3,['Ashish Deo'],"['Ashish Deo', 'Ashish Deo']","['Sachin Danai', 'Jinal Joshi', 'Basant Kumar', 'Sagar Pabale']",['Crime'],"January 25, 2024 (India)",['Hindi'],['Trisha Studios']
Ajab Gajab Dhamal,PT2H21M,5.2,['Smeep Kang'],[],"['Jaswinder Bhalla', 'Sunil Grover', 'Jimmy Shergill', 'Vakil Singh']",['Comedy'],"January 26, 2024 (India)",['Hindi'],['Gakhal Group Production']
Operation C.A.T.S.,PT1H30M,NA,['Nimesh Pandey'],"['Raj Siddhant', 'Raj Siddhant']","['Pragya Nema', 'Gulshan Pandey', 'Ajay Pratap Singh', 'Bharat Tarachandani', 'Raja Thakur']",['Thriller'],"January 26, 2024 (India)",['Hindi'],['Newageshorts']
The Orchard and the Pardes,PT2H,NA,[],"['Renu Savant', 'Renu Savant']",[],['Documentary'],"January 27, 2024 (India)","['Hindi', 'Marathi', 'Nepali']","['India Foundation for the Arts, Bangalore']"
Bless You,PT1H51M,NA,['Sanjay Sure'],"['Ankita Gusain', 'Sanjay Sure', 'Ankita Gusain', 'Sanjay Sure']","['Prasad Athalye', 'Kumar Gaurav', 'Ankita Gusain', 'Mohneesh Kalyan', 'Manish Kumar']",['Comedy'],"January 28, 2024 (India)",['Hindi'],['Courage']
Mann Behka,PT1H17M,NA,['Raghav Pillutla'],"['Raghav Pillutla', 'Raghav Pillutla']","['Ishaan Anand', 'Anoushka Gupta', 'Aarav Bhatnagar', 'Amit Kalra', 'Raghav Pillutla']","['Drama', 'Romance']","January 28, 2024 (India)",['Hindi'],['Raghav Pillutla Films']
Zehan,PT1H53M,4.9,['Dhirendra M. Dimri'],"['Vasant Kashyap Jha', 'Abhishek Shashi Kumar', 'Vasant Kashyap Jha', 'Abhishek Shashi Kumar']","['Arya Babbar', 'Nidhi Nautiyal', 'Nikhil Chaudhary', 'Surbhi Mahendru', 'Sumisha Shankar', 'Jeet Raidutt', 'Lovely Sharma', 'Vikas Shrivastav']","['Romance', 'Thriller']","February 2, 2024 (India)",['Hindi'],['Stuti Production']
Bade Ghar Ki Bahu,NA,NA,['Shatrughn Goswami'],"['Shashi Kumar Pandey', 'Shashi Kumar Pandey']","['Sanchita Banerjee', 'Nishar Khan', 'Pratibha Pandey']",['Family'],"February 8, 2024 (India)",['Hindi'],[]
Balaayen,NA,NA,['Deepanjali'],"['Deepanjali', 'Deepanjali']","['Hariom Mishra', 'Pragati Chauhan', 'Eshika Dey', 'Shiva Kaushal', 'Amzad Khan', 'Rohit Kumar', 'Ramneek Singh Maan', 'Vikas Ranjan', 'Kalpana Rao', 'Dilip Tekwani', 'Sandhya R Vehal']",['Horror'],"February 8, 2024 (India)",['Hindi'],['Kala Motion Pictures']
Bhakshak,PT2H14M,7.2,['Pulkit'],"['Jyotsana Nath', 'Pulkit', 'Jyotsana Nath', 'Pulkit']","['Bhumi Pednekar', 'Sanjay Mishra', 'Aditya Srivastav', 'Sai Tamhankar', 'Surya Sharma', 'Chittaranjan Tripathy', 'Durgesh Kumar', 'Satyakam Anand', 'Tanisha Mehta', 'Vibha Chibber', 'Pravin Kumar Sisodia', 'Murari Kumar', 'Samta Sudiksha', 'Gulista Alija', 'Shakti Kumar', 'Danish Iqbal', 'Pubali Sanyal', 'Farheen Khan']","['Crime', 'Drama']","February 9, 2024 (India)",['Hindi'],['Red Chillies Entertainment']
Teri Baaton Mein Aisa Uljha Jiya,PT2H21M,6.2,"['Amit Joshi', 'Aradhana Sah']","['Amit Joshi', 'Aradhana Sah', 'Amit Joshi', 'Aradhana Sah']","['Shahid Kapoor', 'Kriti Sanon', 'Dharmendra', 'Dimple Kapadia', 'Rakesh Bedi', 'Anubha Fatehpuria', 'Rajesh Kumar', 'Ashish Verma', 'Grusha Kapoor', 'Raashul Tandon', 'Brij Bhushan Shukla', 'Maahi Jain', 'Shaunak Duggal', 'Chitransh Raj', 'Abhishek Gaikwad', 'Janhvi Kapoor', 'Snehal Shidham', 'Shivani Sopori']","['Comedy', 'Drama', 'Romance', 'Sci-Fi']","February 9, 2024 (India)",['Hindi'],"['Jio Studios', 'Maddock Films']"
Lantrani,PT1H39M,5.0,"['Kaushik Ganguly', 'Bhaskar Hazarika', 'Gurvinder Singh']","['Durgesh Singh', 'Durgesh Singh']","['Rajesh Awasthi', 'Boloram Das', 'Jitendra Kumar', 'Johny Lever', 'Kevin Lisy', 'Sanjay Mahanand', 'Nimisha Sajayan', 'Jisshu Sengupta', 'Bhagwan Tiwari']","['Comedy', 'Drama']","February 9, 2024 (India)",['Hindi'],"['Neeljai Films', 'Neeljai Films']"
Mirg,PT1H23M,6.3,['Tarun Sharma'],"['Tarun Sharma', 'Tarun Sharma']","['Raj Babbar', 'Satish Kaushik', 'Suhani Popli', 'Shwetaabh Singh', 'Anup Soni']","['Action', 'Comedy', 'Drama']","February 9, 2024 (India)",['Hindi'],"['Na Ma Productions', 'One Shot Films', 'Studio RA']"
Saajish the Conspiracy,PT1H35M,NA,['Hiralal Khatri'],"['Vinod Vats', 'Vinod Vats']","['Dev Menaria', 'Neeraj Bharadwaj', 'Raj kumar Chawla', 'Mugdha Godse', 'Milind Gunaji', 'Mushtaq Khan', 'Raza Murad', 'Deep Sahu', 'Shivani Sharma', 'Kanchi Singh']","['Crime', 'Drama']","February 9, 2024 (India)",['Hindi'],"['Dm Film Production', 'M. S. Films']"
Khichdi 2: Mission Paanthukistan,NA,5.4,['K. Ajay Kumar'],[],"['Kirti Kulhari', 'Kousai Orfahli', 'Kousi Orfahli', 'Flora Saini']",['Comedy'],"February 9, 2024 (India)",['Hindi'],['Jaminadas and Associates']
Mamta Child Factory,NA,9.3,['Mohsin Khan'],"['Ram Khatmode', 'Vinod Vanve', 'Ram Khatmode', 'Vinod Vanve']","['Sudhakar Birajdar', 'Suvarna Desai', 'Vrushali Dubey', 'Akanksha Jadhav', 'Dhananjay Jamdar', 'Geetanjali Kulkarni', 'Shreya Kulkarni', 'Ankita Landepatil', 'Sujata Mogal', 'Rajesh Nanaware', 'Prathamesh Parab', 'Varsha Satish Patel', 'Vijay Patwardhan', 'Namrata Pawaskar', 'Prithvik Pratap', 'G. Priyanka', 'Jagriti Salve', 'Pratibha Shimpi']",['Drama'],"February 9, 2024 (India)",['Hindi'],[]
Dashmi,PT2H15M,8.2,['Shantanu Anant Tambe'],"['Shantanu Anant Tambe', 'Shantanu Anant Tambe']","['Vardhaan Puri', 'Gaurav Sareen', 'Monica Chaudhary', 'Rajesh Jais', 'Daljeet Kaur', 'Sanjay Pandey', 'Manoj Tiger', 'Aisshwarya Anishka', 'Shabaaz Abdullah Badi', 'Tirth Bhanushali', 'Manisha Chitrode', 'Ram Naresh Diwakar', 'Khushi Hajare', 'Chaitali Jadhav', 'Midhat Khan', 'Vinod Nair', 'Kailash Pal', 'Vidhaan Sharma']","['Drama', 'Thriller']","February 16, 2024 (India)",['Hindi'],['3S Movies']
The Fable,PT1H59M,7.5,['Raam Reddy'],"['Raam Reddy', 'Raam Reddy']","['Manoj Bajpayee', 'Ravi Bisht', 'Priyanka Bose', 'Deepak Dobriyal', 'Awan Pookot', 'Tillotama Shome', 'Hiral Sidhu', 'Viking']",['Drama'],"October 20, 2024 (India)","['Hindi', 'English']","['Maxmedia', 'Prspctvs Productions', 'Sikhya Entertainment']"
Aakhir Palaayan Kab Tak,PT1H48M,6.4,['Mukul Vikram'],"['Mukul Vikram', 'Mukul Vikram']","['Bhushan Patiyal', 'Rajesh Sharma', 'Chittaranjan Giri', 'Gaurav M Sharma', 'Sohani Kumari', 'Dheerendra Dwivedi', 'Saurabh Agnihotri', 'Brijesh Karanwal', 'Avinash Kumar', 'Akshit Chauhan', 'Mahendra Shrivas', 'Ravi Dutt Kaushik', 'Arjun Thakur', 'Jahnavi Vyas', 'Sushil Yadav', 'Tilakraj Singh']",['Drama'],"February 16, 2024 (India)",['Hindi'],"['Maa Chunki Devi Productions', 'Trisha Studios']"
Kuch Khattaa Ho Jaay,PT2H5M,5.6,['Ashok G.'],"['Raj Saluja', 'Niket Pandey', 'Vijay Pal Singh', 'Raj Saluja', 'Niket Pandey', 'Vijay Pal Singh']","['Ila Arun', 'Brahmanandam', 'Paresh Ganatra', 'Abhinandan Jindal', 'Anupam Kher', 'Saiee Manjrekar', 'Guru Randhawa', 'Atul Srivastava', 'Kavita Srivastava', 'Paritosh Tripathi', 'Ambika Vani']",['Comedy'],"February 16, 2024 (India)",['Hindi'],['Mach Films']
Scammy Boys,PT1H44M,4.2,['Shoib Nikash Shah'],"['Ujjwal Jain', 'Pankaj Kanta', 'Rahhat Shah Kazmi', 'Ujjwal Jain', 'Pankaj Kanta', 'Rahhat Shah Kazmi']","['Rupa Chaulagain', 'Hussein Khan', 'Ashmit Patel', 'Rajeev Rana', 'Ayushmaan Saxena', 'Shoib Nikash Shah', 'Rudra Soni']",['Thriller'],"February 16, 2024 (India)",['Hindi'],['Rahat Kazmi Film Studios']
Imamdasta,PT2H23M,7.6,['Rizwan Siddiqui'],"['Rizwan Siddiqui', 'Rizwan Siddiqui']","['Rakesh Sharma', 'Mahesh Chandra Deva', 'Jay Shanker Pandey', 'Raju Pandey', 'Abhijit Sarkar', 'Sahaarsh Shuklaa', 'Kapil Tilhari', 'Sandeep Yadav']",['Drama'],"February 16, 2024 (India)",['Hindi'],['Noorjahan Moving Images']
Khudai,NA,NA,['Yusuf Ali Khan'],"['Salim Ahmed', 'Salim Ahmed']","['Abdul Jabbar Ansari', 'Ramesh Goyal', 'Javed Hyder', 'Ali Khan', 'Dilkash Khan', 'Paritosh Tripathi']",['Action'],"February 16, 2024 (India)",['Hindi'],['AJ Films Creation']
In the Belly of a Tiger,PT1H31M,7.8,['Jatla Siddartha'],"['Amanda Mooney', 'Jatla Siddartha', 'Amanda Mooney', 'Jatla Siddartha']","['Sorabh Jaiswar', 'Francis Lawrence', 'Pooja Pallavi', 'Rosely Raj', 'Roselynn Raj', 'Poonam Tiwari']","['Drama', 'Horror']","February 18, 2024 (Germany)",['Hindi'],"['Jeevi FIlms', 'Bhairavi Films', 'Wonder Pictures']"
Article 370,PT2H38M,7.8,['Aditya Suhas Jambhale'],"['Aditya Dhar', 'Monal Thaakar', 'Aditya Suhas Jambhale', 'Aditya Dhar', 'Monal Thaakar', 'Aditya Suhas Jambhale']","['Yami Gautam', 'Priyamani', 'Vaibhav Tatwawadi', 'Mohan Agashe', 'Hitesh Aggarwal', 'Sukhita Aiyar', 'Raj Arjun', 'Sandeep Chatterjee', 'Praveen Gadkar', 'Kumar Kanchan Ghosh', 'Arun Govil', 'Iravati Harshe', 'Kiran Karmarkar', 'Sumit Kaul', 'Shivam Khajuria', 'Midhat Khan', 'Janya Khandpur', 'Ashwini Koul']","['Political Drama', 'Political Thriller', 'Action', 'Drama', 'Thriller']","February 23, 2024 (India)",['Hindi'],"['B62 Studios', 'Jio Studios']"
CRAKK: Jeetegaa Toh Jiyegaa,PT2H34M,4.7,['Aditya Datt'],"['Aditya Datt', 'Rehan Khan', 'Sarim Momin', 'Aditya Datt', 'Rehan Khan', 'Sarim Momin']","['Vidyut Jammwal', 'Arjun Rampal', 'Nora Fatehi', 'Amy Jackson', 'Ankit Mohan', 'Jamie Lever', 'Bijay Anand', 'Rajendra Shisatkar', 'Shalaka Pawar', 'Michael Owusu', 'Pooja Sawant', 'Rukmini Maitra', 'MC Square', 'Insane Ashraf', 'Tomasz Drankowski', 'Dominic Knight', 'Cyrille Mansuy', 'Aarash Shah']","['Extreme Sport', 'Action', 'Sport', 'Thriller']","February 23, 2024 (India)",['Hindi'],"['Action Hero Films', 'PZ Pictures']"
Political War,PT2H5M,8.4,"['Mukesh Modi', 'Vivek Srivastava']","['Mukesh Modi', 'Manoj Pandey', 'Mukesh Modi', 'Manoj Pandey']","['Gaurav Amlani', 'Sujeet Asthana', 'Arun Bakshi', 'Abhay Bhargava', 'Shashi Bhat', 'Seema Biswas', 'Subhashis Chakraborty', 'Anuradha Chandan', 'Milind Gunaji', 'Lulu Lopez', 'Kanan Malhotra', 'Bill McAndrews', 'Mukesh Modi', 'Jiten Mukhi', 'Prashant Narayanan', 'Raghvendra Pathak', 'Liana Pirraglia', 'Isaac Platizky']",['Drama'],"February 23, 2024 (Ireland)","['Hindi', 'English']",['Indie Films World']
Shiva Ragini,NA,NA,['Shatrughn Goswami'],"['Shashi Kumar Pandey', 'Shashi Kumar Pandey']","['Anup Arora', 'Lado Madhesiya', 'Sanyukta Roy']",['Family'],"February 24, 2024 (India)",['Hindi'],[]
Uberman,NA,8.2,['Ashissh Kaushik'],"['Ashissh Kaushik', 'Amit Shah', 'Alok Sharma', 'Ashissh Kaushik', 'Amit Shah', 'Alok Sharma']","['Adarsh', 'Dyutika Bhardwaj', 'Bhumika', 'Dev Chauhan', 'Sunil Chitkara', 'Manisha Chudasama', 'Pooja Kanjilal', 'Dolly Kaushik', 'Rajender Kaushik', 'Gaurav Kumar', 'Swati Kumar', 'Paras Prabhakar', 'Shrawya Shreya Rajput', 'Rocky', 'Nayana Sagar', 'Sahil Sethi', 'Sahil Sethi', 'Amit Shah']",['Drama'],"February 28, 2024 (India)",['Hindi'],['Iris graphic studio']
Operation Valentine,PT2H13M,5.3,['Shakti Pratap Singh'],"['Sai Madhav Burra', 'Aamir Nahid Khan', 'Siddharth Raj Kumar', 'Sai Madhav Burra', 'Aamir Nahid Khan', 'Siddharth Raj Kumar']","['Varun Tej', 'Manushi Chhillar', 'Paresh Pahuja', 'Ruhani Sharma', 'Mir Sarwar', 'Shataf Figar', 'Sampath Raj', 'Navdeep', 'Ashwath Bhatt', 'Vaibhav Tatwawadi', 'Ali Reza', 'Anish Kuruvilla', 'Srikanth Iyengar', 'Sameer Hasan', 'Abhinav Gomatam', 'Sundip Ved', 'Madhu Nambiar', 'Gurpal Singh']","['Action', 'Drama', 'Thriller']","March 1, 2024 (India)","['Hindi', 'Telugu']","['Annapurna Studios', 'Renaissance Pictures', 'SP International Pictures (SPIP)']"
Kaagaz 2,PT2H5M,5.9,"['V.K. Prakash', 'Jay Dev Banerjee']","['Suman Ankur', 'Khandelwal Shashank', 'Suman Ankur', 'Khandelwal Shashank']","['Anupam Kher', 'Darshan Kumaar', 'Satish Kaushik', 'Neena Gupta', 'Smriti Kalra', 'Anang Desai', 'Shahid Bobby Husain', 'Kiran Kumar', 'Ankur Suman', 'Kapil Tilhari', 'Aniruddh Dave', 'Krishiv Agarwal', 'Akansha', 'Arshad Ali', 'Vishal Anand', 'Anshul', 'Mohd Asif', 'Mohit Bhatia']",['Drama'],"March 1, 2024 (India)",['Hindi'],"['The Sathish Kaushik Entertainment', 'Venus Films']"
Dange,PT2H34M,5.3,['Bejoy Nambiar'],"['Neil Julian Balthazar', 'Mithila Hegde', 'Bejoy Nambiar', 'Neil Julian Balthazar', 'Mithila Hegde', 'Bejoy Nambiar']","['Harshvardhan Rane', 'Ehan Bhat', 'T.J. Bhanu', 'Nikita Dutta', 'Taniya Kalrra', 'Nakul Roshan Sahdev', 'Insane Ashraf', 'Paavani Atrey', 'Mridul Das', 'Surjyasikha Das', 'Omna Harjani', 'Keshav Lokwani', 'Kratika Pancholi', 'Athul Prabhakaran', 'Pratham Rathod', 'Kabir Shah', 'Jeeva Subramanian', 'Jyoti Verma']","['Action', 'Drama']","March 1, 2024 (India)",['Hindi'],"['Getaway Pictures Presentation', 'T-Series Films']"
Sandeh,NA,8.9,['Ayaaz Khan'],"['Shweta Srivastava', 'Shweta Srivastava']","['Pulkit Raizada', 'Pradeep Srivastava', 'Gaurav Kumar', 'Sonam Saini', 'Rohit Shrivastav', 'Tanishq Srivastava', 'Anshuman Srivastava', 'Anoopma Awasthi', 'Dushyant Singh Bhadauria', 'Nitish Bhaluni', 'Ritika Gupta', 'Lokesh Mohan Khattar', 'Sanjay Raizada', 'Shivani Saumya', 'Dinesh Trivedi', 'Pawan Vikram']",['Drama'],"March 1, 2024 (India)",['Hindi'],['Impulse Cine Entertainments']
Kusum Ka Biyaah,PT2H2M,NA,['Suvendu Raj Ghosh'],"['Sandip Dubey', 'Vikash Dubey', 'Sandip Dubey', 'Vikash Dubey']","['Lovekansh Garg', 'Sujana Darjee', 'Raja Sarkar', 'Suhani Biswas', 'Panya Darshan', 'Atanu Mahata', 'Sayantan Roy', 'Trambak Roychowdhury']",['Drama'],"March 1, 2024 (India)",['Hindi'],"['Altair Media', 'Balwant Purohit Media']"
Raktdhara: The City of Blood,NA,9.1,['Rehmat Ali Khan'],"['Uttam Chaudhary', 'Uttam Chaudhary']","['Rishabh Choudhary', 'Dheeraj Dev', 'Helena Fonseca', 'Gaurav Gautam', 'Sonu Mishra', 'Jiya Pandey', 'Sonam Saini', 'Prithvi Zutshi']",['Crime'],"March 1, 2024 (India)",['Hindi'],[]
Chhota Bheem Dholakpur Ki Dastaan,PT1H4M,8.9,['Rajiv Chilaka'],[],"['Rupa Bhimani', 'Vatsal Dubey', 'Julie Tejwani']",['Animation'],"March 3, 2024 (India)",['Hindi'],[]
Angithee 3,PT1H39M,8.1,['Satish Bhat'],[],"['Akshitaa Agnihotri', 'Fezan Khan', 'Gulfam Khan', 'Shafaq Naaz', 'Rrahul Sudhir']",['Romance'],"March 7, 2024 (India)",['Hindi'],['Rahat Kazmi Film Studios']
Shaitaan,PT2H12M,6.5,['Vikas Bahl'],"['Aamil Keeyan Khan', 'Krishnadev Yagnik', 'Aamil Keeyan Khan', 'Krishnadev Yagnik']","['Ajay Devgn', 'Madhavan', 'Jyotika', 'Janki Bodiwala', 'Anngad Raaj', 'Madhurima Ghosh', 'Ashish Gokhale', 'Vikash Kawa', 'Akram Musharaf', 'Shiv Malhotra', 'Divyansh Anandani', 'Abhishek Arun', 'Monica Nash', 'Farina Nizam', 'Anjali Sardana', 'Sweta Gupta', 'Ankita Sharma', 'Raziya Sultana']","['Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Drama', 'Horror', 'Thriller']","March 8, 2024 (India)",['Hindi'],"['Jio Studios', 'Ajay Devgn Ffilms', 'Panorama Studios']"
Until I Fly,PT1H30M,7.3,[],[],[],['Documentary'],"March 10, 2024 (Greece)",['Hindi'],"['Al Jazeera Documentary Channel', 'BBC Storyville', 'Elda Productions']"
